Year,Living Authors,Dead Authors,No Author,No Dates,Indeterminate,Ambiguous,Total Records
1710,25,3,12,0,3,2,45
1711,25,8,10,7,4,0,54
1712,20,7,1,0,9,2,39
1713,15,4,3,5,5,0,33
1714,29,9,11,2,4,0,56
1715,17,4,8,8,3,6,48
1716,19,9,12,6,4,0,50
1717,32,10,8,7,7,0,65
1718,27,16,5,2,4,1,56
1719,61,8,12,10,5,0,96
1720,50,10,14,18,12,0,104
1721,39,15,16,8,4,0,82
1722,24,8,14,12,5,1,66
1723,19,16,8,5,10,1,59
1724,12,14,8,7,11,0,53
1725,18,8,9,16,1,3,56
1726,31,9,12,10,5,2,73
1727,17,11,8,5,6,0,48
1728,20,6,12,6,2,3,50
1729,19,13,13,9,5,2,62
1730,42,18,20,13,10,1,104
1731,20,10,22,10,10,0,74
1732,45,12,30,13,9,2,114
1733,19,15,17,6,8,0,66
1734,23,21,15,6,1,0,67
1735,26,16,8,13,3,1,68
1736,17,4,6,2,2,0,32
1737,32,11,9,7,3,1,64
1738,44,11,5,6,4,0,70
1739,38,8,17,13,4,3,83
1740,21,5,7,10,5,0,49
1741,22,10,13,4,3,2,55
1742,21,13,14,4,1,1,55
1743,13,1,9,4,4,0,31
1744,19,11,8,4,6,2,51
1745,20,7,7,4,6,7,52
1746,20,17,7,4,7,0,56
1747,14,9,8,1,4,0,37
1748,26,17,9,5,7,1,66
1749,13,13,14,9,5,0,54
1750,20,7,7,8,5,0,48
1751,24,11,9,2,7,0,54
1752,26,13,9,2,3,0,54
1753,18,9,11,4,1,0,43
1754,20,10,11,1,0,0,42
1755,34,9,6,8,7,0,64
1756,20,8,6,2,6,0,43
1757,26,17,6,0,3,0,52
1758,18,8,9,6,3,2,46
1759,7,13,7,4,4,1,36
1760,15,4,7,3,3,0,32
1761,18,15,13,2,2,1,51
1762,9,9,3,0,2,1,24
1763,26,12,7,6,1,0,52
1764,30,10,11,4,2,0,57
1765,19,19,9,3,0,0,50
1766,28,15,12,3,4,1,64
1767,25,9,4,4,0,1,43
1768,14,10,10,3,0,0,37
1769,28,9,8,1,5,0,53
1770,22,6,12,4,0,0,48
1771,20,4,6,4,1,1,41
1772,23,13,8,3,2,0,53
1773,29,11,7,4,1,1,54
1774,22,14,6,3,0,1,47
1775,16,14,4,4,1,0,41
1776,16,11,5,3,0,0,35
1777,16,10,8,1,2,1,38
1778,2,2,3,1,0,0,8
1779,0,1,1,1,0,0,3
1780,3,0,1,0,0,0,4
